Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
LMSIX,QS US Small Capitalization Equity I,3/13/2000,No,US Equity Small Cap,284.00,211454064.00,877.77,1.57,4.99,12.09,0.61,34.06,5.40,2.55,8.88,18.52,7.63,13.01,1.66,0.50,3.74,1.70,12.33,10.70,-7.81,1.59,12.72
LMVTX,ClearBridge Value C,4/16/1982,No,US Equity Large Cap Blend,53.00,4685325462.00,31365.25,1.77,7.36,18.08,0.92,40.20,3.09,2.82,8.33,16.18,10.42,13.92,1.71,0.80,6.45,3.11,10.90,-6.39,0.42,6.65,-0.57
LMVYX,Lord Abbett Micro Cap Value I,7/9/1999,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
LNGZX,Columbia Greater China Z,5/16/1997,No,Greater China Equity,61.00,261546704.00,29249.81,2.97,7.99,19.91,2.70,,23.37,8.75,19.05,,18.19,15.36,2.50,1.48,2.15,0.92,16.00,10.32,-5.92,24.47,40.50
LOGSX,Live Oak Health Sciences,6/29/2001,No,Healthcare Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
LOMAX,Edgar Lomax Value,12/12/1997,No,US Equity Large Cap Value,55.00,19969686.00,56707.93,2.24,8.33,15.21,1.12,38.30,9.61,6.47,17.36,13.88,12.82,13.05,2.36,0.94,6.90,3.25,8.15,1.63,-2.43,8.48,7.15
LPEIX,ALPS|Red Rocks Listed Private Equity I,12/31/2007,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
LREOX,Lazard US Realty Equity Open,12/31/2008,No,Real Estate Sector Equity,31.00,401112.00,3119.40,1.53,,38.28,2.18,49.97,6.24,0.67,1.66,,,41.27,1.22,1.10,8.48,7.52,6.84,10.12,0.65,15.01,3.94
LRIOX,Lazard US Realty Income Open,7/30/2008,No,Real Estate Sector Equity,6.00,5814667.00,265.58,1.16,,,0.89,58.01,-7.50,-2.88,-11.39,,,17.87,0.66,0.30,6.88,11.80,,4.91,5.21,41.76,
LRSCX,Lord Abbett Small Cap Value A,12/13/1995,No,US Equity Small Cap,117.00,3240361411.00,1241.65,1.58,6.79,17.74,0.80,30.23,2.44,2.01,5.82,13.52,3.63,17.13,1.51,0.59,5.37,1.82,12.30,5.25,1.49,9.94,5.27
LSGIX,Loomis Sayles Value Y,5/13/1991,No,US Equity Large Cap Value,73.00,937609457.00,33215.16,1.67,7.90,16.38,1.09,36.25,5.10,3.57,9.50,15.73,10.90,13.38,1.62,0.84,5.26,2.81,8.14,0.15,3.26,8.81,8.34
LSGRX,Loomis Sayles Growth Y,5/16/1991,No,US Equity Large Cap Growth,48.00,115181190.00,29862.07,3.69,14.35,28.52,2.60,26.41,10.38,6.72,16.10,18.52,15.09,20.94,3.54,1.89,5.70,1.03,14.14,11.31,10.29,19.08,22.68
LSHAX,Horizon Spin-off & Corp Restructuring A,5/4/2007,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
LSLTX,Leuthold Select Industries,6/19/2000,No,US Equity Mid Cap,93.00,54152381.00,11552.27,1.85,5.95,15.80,0.82,36.14,6.68,4.03,11.63,10.54,7.77,15.01,1.48,0.62,4.55,1.25,10.86,1.44,-6.47,4.58,5.01
LSSCX,Loomis Sayles Small Cap Value Instl,5/13/1991,No,US Equity Small Cap,165.00,986730501.00,1262.05,1.70,6.70,15.35,0.85,33.93,4.35,1.31,7.79,12.09,7.00,15.55,1.54,0.70,4.77,2.47,11.62,2.37,0.97,4.29,8.47
LSSIX,Loomis Sayles Small Cap Growth Instl,12/31/1996,No,US Equity Small Cap,105.00,128567641.00,1119.95,3.23,14.23,28.93,2.09,23.66,2.45,0.54,6.37,28.49,3.54,27.42,2.93,1.58,8.50,0.13,19.81,9.99,6.91,-0.59,-12.54
LSVEX,LSV Value Equity,3/31/1999,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
LSVVX,LSV Conservative Value Equity,3/30/2007,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
LTGAX,Victory CEMP Global High Div Defesv A,12/31/2008,No,Global Equity,0.00,15147069.00,12186.06,1.49,0.95,15.27,0.34,39.03,10.53,3.35,9.01,12.31,11.54,14.89,1.38,0.70,4.57,4.64,12.77,27.93,-31.53,-47.13,-41.09
LVOYX,Lord Abbett Value Opportunities I,12/30/2005,No,US Equity Mid Cap,107.00,755247031.00,2761.18,1.80,8.31,16.27,0.89,33.41,4.94,3.19,8.92,14.72,5.66,16.97,1.72,0.73,5.59,1.89,12.07,-1.77,4.95,10.06,5.43
LVPIX,ProFunds Large Cap Value Inv,10/1/2002,Yes,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
LZEMX,Lazard Emerging Markets Equity Instl,7/15/1994,No,Emerging Markets Equity,75.00,11953951572.00,10666.98,3.08,9.46,9.77,1.48,32.25,20.64,17.03,35.72,,29.28,10.32,2.40,1.15,7.67,6.36,11.02,13.55,-47.35,0.34,348.17
LZIEX,Lazard International Equity Instl,10/29/1991,No,Global Equity Large Cap,73.00,157593842.00,42101.16,1.88,5.39,10.07,1.03,35.90,11.51,6.49,15.15,,11.49,13.08,1.24,0.95,4.62,7.82,9.29,15.42,-9.66,3.74,77.31
LZISX,Lazard International Small Cap Eq Instl,12/1/1993,No,Global Equity Mid/Small Cap,76.00,68873570.00,1380.83,2.24,8.07,16.06,0.87,,9.44,7.91,18.82,,21.73,14.24,1.44,0.93,8.96,3.45,8.08,-0.26,7.18,2.79,-2.73
LZSCX,Lazard US Small-Mid Cap Equity Instl,10/30/1991,No,US Equity Small Cap,89.00,75590631.00,1688.01,2.01,7.40,18.04,0.89,38.96,5.61,2.87,8.82,12.21,6.31,16.30,1.94,0.67,6.20,1.72,10.83,8.12,0.97,3.92,-0.32
LZSIX,Lazard International Equity Select Instl,5/31/2001,No,Global Equity Large Cap,59.00,8324981.00,45327.66,2.07,5.90,8.42,1.19,36.92,14.10,7.46,16.27,,12.65,12.32,1.13,1.03,2.58,11.63,8.07,-0.24,5.62,23.77,74.92
LZUSX,Lazard US Strategic Equity Instl,12/30/2004,No,US Equity Large Cap Blend,65.00,75103127.00,42239.15,2.10,8.98,16.45,1.25,31.97,9.98,5.62,13.54,13.72,13.13,13.30,2.09,0.97,6.90,2.27,9.69,-1.18,3.93,12.28,11.25
MABAX,BlackRock Basic Value Instl,7/1/1977,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MACSX,Matthews Asian Growth & Inc Investor,9/12/1994,No,Asia ex-Japan Equity,52.00,2478991239.00,6210.60,2.13,9.10,15.20,2.34,,24.29,9.80,19.04,,,15.37,1.43,0.55,4.94,6.04,9.59,-7.45,3.07,25.00,0.89
MADCX,BlackRock Emerging Mkts Instl,9/1/1989,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
MADDX,FDP BlackRock Janus Growth Institutional,7/27/2005,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MAEFX,BlackRock EuroFund Instl,10/26/1988,No,Europe Equity Large Cap,53.00,637873331.00,43480.89,1.43,5.63,11.20,0.63,38.23,5.73,3.43,9.13,,7.02,12.44,1.06,0.43,3.31,6.91,6.43,-8.64,0.01,3.98,-2.75
MAEGX,BlackRock Long-Horizon Equity Instl,11/4/2005,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
MAEQX,Mutual of America Instl Equity Index,4/30/1999,Yes,US Equity Large Cap Blend,499.00,47177848.00,43907.67,2.21,9.08,18.59,1.24,35.87,8.53,5.80,14.72,15.37,13.59,14.77,2.12,1.01,6.46,2.70,9.44,-4.89,-1.95,6.90,9.52
MAFOX,BlackRock Focus Growth Instl,3/3/2000,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MAIIX,BlackRock International Index Instl,4/9/1997,Yes,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
MAIQX,FDP BlackRock MFS Research Intl Instl,7/27/2005,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
MAKOX,Matthews Korea Investor,1/3/1995,No,Other Equity,56.00,135570377.00,5846.51,1.89,9.12,16.29,0.85,19.93,7.30,5.79,12.93,,,11.25,1.72,0.69,8.41,1.04,19.11,-2.89,8.90,11.34,-6.12
MALHX,BlackRock Large Cap Growth Instl,12/22/1999,No,US Equity Large Cap Growth,93.00,744066020.00,11723.61,2.64,7.50,15.41,0.80,33.93,10.66,9.43,23.77,10.46,17.25,13.74,2.63,0.63,7.26,1.25,12.09,8.85,3.70,14.98,10.72
MALLX,Mutual of America Instl All America,5/1/1996,No,US Equity Large Cap Blend,700.00,45390356.00,19636.92,2.13,8.96,18.44,1.13,35.54,7.92,4.69,13.29,16.24,10.70,15.32,2.03,0.92,6.26,2.47,9.96,-4.16,-0.68,5.94,3.43
MALRX,BlackRock Large Cap Core Instl,12/22/1999,No,US Equity Large Cap Blend,130.00,3968697946.00,13121.34,2.00,6.39,13.61,0.71,35.59,9.05,7.44,18.85,10.85,14.48,12.98,1.98,0.57,6.08,1.58,10.35,13.26,4.38,13.51,10.37
MALVX,BlackRock Large Cap Value Instl,12/22/1999,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MAMQX,Mutual of America Instl Mid-Cap Eq Idx,9/1/2000,Yes,US Equity Mid Cap,398.00,44195616.00,2688.09,1.84,7.06,19.41,1.01,33.70,5.27,1.65,6.99,14.57,5.92,16.86,1.78,0.82,6.38,2.41,11.26,1.27,2.17,7.52,7.24
MAPCX,BlackRock Pacific Instl,9/23/1976,No,Asia Equity,78.00,498297652.00,18551.61,1.33,5.12,15.27,0.72,28.92,11.65,5.03,9.55,,8.77,15.84,1.11,0.63,4.19,3.43,14.96,0.73,3.08,6.29,4.08
MAPIX,Matthews Asia Dividend Investor,10/31/2006,No,Asia Equity,59.00,309562457.00,3903.80,2.12,8.77,15.82,1.80,,16.84,10.86,16.25,,17.70,14.64,1.22,0.56,6.76,5.45,10.57,4.93,6.17,20.40,4.85
MAPTX,Matthews Pacific Tiger Investor,9/12/1994,No,Asia ex-Japan Equity,76.00,3507250129.00,8391.88,3.26,15.69,21.02,1.87,23.02,20.38,10.03,21.36,,21.35,17.55,2.66,1.47,5.63,1.68,13.54,5.74,14.27,14.69,3.52
MARFX,BlackRock Mid Cap Value Opps Instl,2/1/1995,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
MARNX,Convergence Core Plus Institutional,12/29/2009,No,US Equity Large Cap Blend,144.00,13205667.00,2547.38,1.58,5.39,14.81,0.53,35.19,4.94,3.58,10.50,10.48,9.79,13.48,1.17,0.46,4.50,2.39,12.31,-15.38,-8.22,-0.05,4.49
MASKX,BlackRock Small Cap Index Instl,4/9/1997,Yes,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MASPX,BlackRock Value Opportunities Instl,5/5/1978,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MASSX,Mutual of America Instl Small Cap Growth,5/1/2007,No,US Equity Small Cap,127.00,3677634.00,831.71,2.52,10.47,19.12,1.08,31.76,1.85,-1.35,3.56,22.46,-3.94,19.81,2.24,0.71,5.07,0.94,14.95,9.72,0.39,4.49,-11.53
MASTX,BMO Large-Cap Growth Y,11/20/1992,No,US Equity Large Cap Growth,70.00,179223596.00,31275.21,2.92,10.83,21.85,1.38,27.60,11.50,7.05,16.98,16.35,15.38,16.46,2.82,1.08,8.07,1.67,12.84,8.48,8.44,14.35,16.95
MASVX,Madison Small Cap A,12/27/2006,No,US Equity Small Cap,78.00,29752112.00,1130.07,1.48,6.75,14.75,0.88,34.76,2.37,2.34,7.40,11.68,6.90,14.44,1.48,0.76,5.60,3.01,11.79,-2.33,1.51,7.68,2.94
MASWX,BlackRock Small Cap Growth II Instl,10/28/1999,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MATFX,Matthews Asia Innovators Investor,12/27/1999,No,Asia ex-Japan Equity,59.00,128532415.00,8390.49,3.16,10.71,25.73,1.38,16.59,14.50,12.10,16.84,,17.62,17.90,2.82,1.01,6.49,1.91,17.65,6.22,-8.69,-2.08,-8.52
MATIX,MainStay Epoch US All Cap I,1/2/1991,No,US Equity Large Cap Blend,52.00,291609688.00,15281.92,2.11,9.04,18.69,1.25,35.14,8.97,5.44,13.41,14.38,11.53,13.67,2.20,0.96,5.03,2.16,11.35,5.01,0.53,6.91,0.30
MAVFX,Matrix Advisors Value,7/1/1996,No,US Equity Large Cap Value,39.00,99957686.00,30189.04,1.85,10.68,20.08,1.11,33.18,4.16,2.22,6.82,19.00,8.98,15.19,1.75,0.76,9.09,2.51,11.33,-3.45,-0.15,11.54,-5.47
MAVSX,Mutual of America Instl Small Cap Value,5/1/2007,No,US Equity Small Cap,107.00,4322963.00,947.74,1.32,5.90,16.60,0.61,39.51,6.74,1.29,7.92,16.78,0.84,15.75,1.27,0.56,4.38,2.86,9.82,-2.68,0.95,2.20,-7.45
MAVVX,FDP BlackRock Invesco Value Instl,7/27/2005,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MBCSX,MassMutual Select Blue Chip Growth R5,5/31/2001,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MBDVX,BlackRock Equity Dividend Inv B,11/25/1987,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MBGRX,BlackRock Natural Resources Inv B,8/2/1985,No,Energy Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
MBRSX,AMG Managers Essex Small/Micro Cap Gr N,6/25/2002,No,US Equity Small Cap,99.00,190124059.00,534.05,2.07,12.34,25.43,1.21,20.64,-2.09,-2.22,-1.87,28.96,3.72,20.08,2.04,0.96,5.61,0.52,15.98,2.65,-5.76,6.05,6.59
MCDFX,Matthews China Dividend Investor,11/30/2009,No,Greater China Equity,34.00,6775374.00,6783.70,2.33,9.60,17.61,2.14,,31.48,11.51,18.50,,16.38,13.71,1.30,0.41,5.84,6.62,11.37,4.37,6.85,58.84,30.02
MCGFX,AMG Managers Montag & Caldwell Growth N,11/2/1994,No,US Equity Large Cap Growth,32.00,2713537401.00,61530.86,3.64,13.61,20.13,1.77,23.57,15.45,11.20,23.72,17.96,19.51,16.97,3.70,1.47,10.77,1.51,11.83,12.50,8.54,14.97,20.34
MCHFX,Matthews China Investor,2/19/1998,No,Greater China Equity,65.00,2522148322.00,10721.15,3.34,12.60,23.08,1.61,,23.25,9.78,19.52,,18.12,18.32,2.63,1.03,5.28,1.57,15.14,-25.97,-33.78,-29.79,-47.13
MCMFX,AMG Managers Cadence Mid Cap Z,8/26/1991,No,US Equity Mid Cap,83.00,808473304.00,4359.79,2.42,8.56,19.93,0.89,30.33,5.98,4.61,10.58,11.85,9.38,16.40,2.06,0.75,5.16,1.41,12.55,-6.27,3.64,9.76,8.61
MDGCX,BlackRock Global SmallCap Inv A,8/5/1994,No,Global Equity Mid/Small Cap,214.00,1026903214.00,2022.23,1.89,8.91,15.51,1.13,30.13,5.24,0.52,5.64,45.58,18.09,16.20,1.51,0.88,5.70,2.22,10.70,-2.83,-0.43,3.76,-1.47
MDIJX,MFS Intl Diversification I,9/30/2004,No,Global Equity Large Cap,0.00,1942276348.00,19837.12,1.73,6.71,7.81,0.92,32.29,10.44,6.24,14.88,,,14.95,1.21,0.75,3.86,3.40,18.96,103.15,-11.86,-5.15,14.53
MDILX,BlackRock International Inv A,10/30/1998,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
MDISX,Franklin Mutual Global Discovery Z,12/31/1992,No,Global Equity,112.00,16131768996.00,19563.94,1.80,6.86,14.53,1.15,41.16,9.91,5.53,14.57,,14.79,13.11,1.26,0.85,4.91,4.51,10.10,-13.92,-11.91,-11.33,-0.18
MDLTX,BlackRock Latin America Inv A,9/27/1991,No,Latin America Equity,,,,,,,,,,,,,,,,,,,,,,,
MDPIX,ProFunds Mid Cap Inv,9/4/2001,Yes,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
MDVSX,MassMutual Select Diversified Value R5,10/15/2004,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
MECIX,AMG Managers Cadence Emerging Cos I,6/25/1993,No,US Equity Small Cap,102.00,75842187.00,327.72,1.98,6.87,17.17,0.74,27.09,3.27,0.09,4.94,11.95,5.27,15.77,1.90,0.59,5.61,1.34,14.89,3.28,-6.76,4.26,20.13
MEDRX,Kinetics Medical No Load,9/30/1999,No,Healthcare Sector Equity,47.00,25796639.00,12642.30,2.46,10.25,14.80,2.40,28.09,13.68,1.24,11.58,18.02,4.45,12.05,2.12,2.08,6.40,1.58,8.59,14.47,0.25,9.36,18.11
MEFOX,Meehan Focus,12/10/1999,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
MEGAX,US Global Investors Holmes Macro Trends,10/17/1994,No,US Equity Mid Cap,50.00,37923431.00,4812.55,3.22,13.32,23.49,2.12,28.16,10.40,9.94,21.36,21.27,17.96,19.26,2.95,1.51,8.41,1.67,16.51,15.62,6.91,15.98,25.07
MEGBX,MFS Growth B,12/29/1986,No,US Equity Large Cap Growth,123.00,2101386191.00,24742.34,3.27,14.22,25.72,2.26,26.44,12.88,8.86,19.09,20.04,15.75,19.70,2.79,1.78,8.71,1.34,13.81,5.53,8.97,12.29,12.43
MEIAX,MFS Value A,1/2/1996,No,US Equity Large Cap Value,89.00,12371728814.00,46864.74,2.07,8.78,16.14,1.26,36.78,6.93,5.66,17.15,15.60,15.22,12.26,1.88,0.93,4.55,2.76,8.78,1.91,0.61,9.25,10.88
MEIFX,Meridian Equity Income Legacy,1/31/2005,No,US Equity Large Cap Growth,60.00,24355570.00,8991.81,2.25,6.61,17.57,0.69,34.30,7.39,4.79,12.14,10.16,10.42,14.59,2.27,0.53,6.39,3.97,8.72,1.48,-1.60,10.65,6.01
MEMAX,MFS Emerging Markets Equity A,10/24/1995,No,Emerging Markets Equity,117.00,508161843.00,18947.32,2.87,5.52,11.57,1.57,23.90,18.94,10.42,22.10,,18.58,13.39,2.16,1.58,2.95,3.43,11.68,-16.52,12.15,32.30,84.41
MEMKX,BNY Mellon Emerging Markets M,10/2/2000,No,Emerging Markets Equity,259.00,1517910239.00,13679.51,1.45,5.42,4.40,0.93,26.68,14.10,7.16,14.38,,,11.44,1.45,0.76,3.58,3.84,12.67,-20.33,-63.29,-61.49,-66.18
MEQAX,American Century International Val A,3/31/1997,No,Global Equity Large Cap,84.00,29765101.00,37682.11,1.50,6.45,15.18,0.88,36.98,9.64,4.60,10.94,,9.79,11.78,1.26,0.73,4.97,4.13,6.97,-15.72,-22.57,-25.55,-50.78
MEQFX,AMG FQ US Equity I,8/14/1992,No,US Equity Large Cap Blend,215.00,53766474.00,13642.40,1.95,5.75,13.95,0.83,36.97,9.76,5.58,15.50,10.16,12.79,12.99,2.00,0.63,4.84,2.10,8.63,7.51,-0.24,9.28,14.61
MERDX,Meridian Growth Legacy,8/1/1984,No,US Equity Small Cap,53.00,1411762887.00,3960.22,3.17,11.28,23.88,1.83,27.44,9.59,7.53,16.67,17.73,12.48,21.10,3.13,1.52,10.79,1.59,13.01,5.00,7.35,12.88,11.47
MEURX,Franklin Mutual European Z,7/3/1996,No,Europe Equity Large Cap,69.00,1969463336.00,23368.05,1.60,4.92,14.56,0.91,43.45,9.31,3.89,12.29,,8.90,12.64,1.17,0.57,3.32,6.22,6.54,-1.65,-16.96,2.29,-0.27
MFGIX,Monteagle Quality Growth I,3/30/1998,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MFMIX,Morgan Stanley Inst Frontier Mkts I,8/25/2008,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
MFOCX,Marsico Focus,12/31/1997,No,US Equity Large Cap Growth,33.00,2069913774.00,65596.07,2.88,12.65,20.29,2.38,36.60,15.95,9.46,19.53,16.02,17.59,15.51,2.69,1.77,8.09,2.42,13.08,0.11,6.85,11.26,23.08
MFOMX,BNY Mellon Focused Equity Opp M,9/30/2009,No,US Equity Large Cap Growth,30.00,22485874.00,36224.91,2.61,11.74,22.59,1.65,28.92,9.23,6.76,16.08,17.46,13.24,16.73,2.54,1.27,2.92,2.12,12.02,5.77,6.82,12.84,15.21
MFQTX,AMG FQ Tax-Managed US Equity I,12/18/2000,No,US Equity Large Cap Blend,198.00,51726740.00,7212.73,1.77,5.28,14.71,0.73,39.35,7.92,5.05,13.27,11.65,10.53,13.45,1.81,0.53,4.13,1.88,7.67,10.39,-4.68,8.28,15.63
MFRFX,MFS Research A,10/13/1971,No,US Equity Large Cap Blend,124.00,1994987404.00,35999.91,2.21,9.68,19.17,1.44,31.22,8.19,6.34,14.87,17.12,13.04,15.08,2.08,1.15,6.51,2.04,10.18,-13.82,1.88,7.97,13.62
MFVSX,MassMutual Select Equity Opports R5,4/28/2000,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
MGCSX,Managed Account Global SmallCap,8/2/2005,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
MGEMX,Morgan Stanley Inst Emerging Mkts I,9/25/1992,No,Emerging Markets Equity,178.00,2331701125.00,17463.63,2.59,8.02,10.01,1.36,25.39,14.25,7.50,17.05,,16.42,14.12,1.89,1.13,4.21,2.33,11.30,16.37,-18.33,-26.59,68.45
MGFSX,MassMutual Premier Global R5,12/31/2004,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
MGGIX,Morgan Stanley Inst Global Opp I,5/30/2008,No,Global Equity,35.00,12586888.00,14062.68,3.77,18.64,22.12,2.01,31.41,17.61,11.10,21.54,,16.68,17.71,2.27,1.53,7.59,3.79,13.23,1.82,-0.92,-15.29,-14.94
MGIAX,MFS International Value A,10/24/1995,No,Global Equity Large Cap,95.00,2335506402.00,18541.91,1.56,5.32,16.69,0.99,32.29,8.24,5.63,13.70,12.24,11.62,13.14,1.22,0.65,4.17,3.88,8.52,39.82,-19.55,-11.29,-31.64
MGINX,Deutsche Global Macro Institutional,5/15/1995,No,Global Equity,496.00,153126079.00,22861.39,1.62,5.53,12.87,0.84,35.68,10.24,6.34,15.08,-33.26,12.02,14.21,1.31,0.66,4.41,4.20,12.74,59.85,-36.74,-49.40,-45.36
MGLBX,Marsico Global,6/29/2007,No,Global Equity,55.00,111192123.00,28389.35,2.83,15.39,24.27,2.53,34.35,12.06,7.75,15.83,20.53,15.98,18.25,1.89,1.69,7.28,2.29,9.75,39.10,14.42,-6.57,9.35
MGLIX,MFS Global Real Estate I,3/11/2009,No,Real Estate Sector Equity,47.00,167102968.00,8221.71,1.34,,22.72,4.53,47.45,26.39,-1.32,-2.30,,,21.59,1.14,4.08,7.43,7.57,7.40,-22.39,-6.55,-7.00,
MGOYX,Victory Munder Mid-Cap Core Growth Y,6/24/1998,No,US Equity Mid Cap,94.00,3936375331.00,3847.98,2.14,10.26,20.22,1.58,34.17,11.38,6.20,14.46,20.13,10.19,17.13,2.22,0.82,6.98,1.85,11.27,9.16,9.94,14.59,14.37
MGPIX,ProFunds Mid Cap Growth Inv,9/4/2001,Yes,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
MGRAX,MFS International Growth A,10/24/1995,No,Global Equity Large Cap,85.00,1343034615.00,24924.35,2.51,5.89,18.50,1.69,26.88,12.50,7.90,18.44,,15.66,16.21,1.61,1.08,6.92,2.71,9.87,12.74,-14.37,3.92,37.64
MGRFX,MassMutual Select Mid Cap Growth R5,5/31/2000,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
MGRIX,Marsico Growth,12/31/1997,No,US Equity Large Cap Growth,38.00,1119404584.00,58303.21,2.95,12.30,20.92,2.36,34.81,15.30,9.17,19.57,17.13,16.16,15.92,2.76,1.72,8.20,2.09,12.38,4.13,7.43,13.25,22.03
MGRSX,MassMutual Select Growth Opps R5,4/28/2000,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MGSEX,AMG Managers Special Equity N,6/1/1984,No,US Equity Small Cap,298.00,261257844.00,1238.49,2.82,10.65,21.16,1.44,27.46,3.97,1.74,7.66,18.09,6.07,19.85,2.59,1.08,6.48,0.59,15.32,10.40,2.35,6.47,10.65
MGWAX,Madison Large Cap Value A,12/29/1997,No,US Equity Large Cap Value,57.00,156537367.00,45803.22,1.83,7.47,15.35,1.31,40.44,8.30,4.57,12.31,15.88,13.02,12.73,1.78,1.04,6.37,2.87,10.08,-1.55,2.91,11.28,10.27
MHESX,MH Elite Select Portfolio of Funds,4/6/2006,No,Global Equity,0.00,3767642.00,12287.73,2.00,6.73,14.76,1.03,34.52,10.87,4.96,13.03,17.39,11.61,15.07,1.68,0.79,4.12,3.10,9.98,-33.52,-58.69,-84.73,37.78
MICIX,Victory Trivalent Intl Fd-Core Eq I,8/16/2007,No,Global Equity Large Cap,150.00,48528572.00,25196.37,1.64,5.69,13.79,0.90,35.28,10.74,4.63,13.94,,14.30,12.54,1.47,0.74,3.95,4.28,7.56,-2.93,3.58,1.68,3.95
MIDIX,Deutsche Mid Cap Value Institutional,8/1/2005,No,US Equity Mid Cap,68.00,180694472.00,6239.24,1.67,6.27,14.53,0.83,37.14,10.27,3.51,10.94,10.33,9.31,12.01,1.61,0.66,5.87,3.55,9.81,3.43,2.14,11.43,3.28
MIDSX,Midas,1/8/1986,No,Precious Metals Sector Equity,40.00,131218572.00,3332.71,3.04,14.74,,3.68,15.83,-1.73,-2.53,-1.00,-78.99,2.58,17.91,2.13,1.85,7.91,0.56,17.32,24.78,5.54,14.89,2.42
MIEDX,MassMutual Premier International Eq R5,1/31/1995,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
MIEIX,MFS Instl International Equity,1/31/1996,No,Global Equity Large Cap,68.00,2483137575.00,31777.14,2.14,9.06,18.14,1.45,31.35,11.58,7.01,16.93,13.88,13.03,15.55,1.58,0.93,5.84,3.03,7.69,-8.93,-17.74,-22.06,-46.18
MIEMX,BMO LGM Emerging Markets Equity I,12/22/2008,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
MIGFX,MFS Massachusetts Inv Gr Stk A,1/1/1935,No,US Equity Large Cap Growth,70.00,3039964591.00,35467.13,3.19,12.74,19.91,2.04,28.68,12.87,10.04,23.62,15.77,18.07,16.49,2.84,1.58,11.15,1.43,11.26,-8.22,7.68,27.14,77.78
MIIFX,Monteagle Informed Investor Growth I,4/3/2008,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
MINAX,Madison International Stock A,12/29/1997,No,Global Equity Large Cap,75.00,111155730.00,41660.90,1.88,5.37,9.80,1.02,36.06,11.53,6.50,15.25,,11.43,13.04,1.24,0.95,4.65,7.99,9.25,13.76,-9.71,2.79,71.65
MINDX,Matthews India Investor,10/31/2005,No,India Equity,50.00,703327111.00,3187.00,3.00,13.47,8.57,1.49,28.60,12.29,7.94,17.95,-47.71,19.80,17.40,2.41,1.22,5.03,1.05,16.72,36.68,18.28,16.41,30.05
